PY_CONTACT_LOG  Time : 1844772240 , Sensor_aircraft : Typhoon FGR.4 , Emission_sensor_name : Slot Back [N-010 Zhuk-M] , Emission_age : 33.900054931641 , Emission_solid : true , Emission_type : 2001 , Emission_role : 2122 , Emission_latitude : 44.640933862914 , Emission_longitude : 31.890743606263 , Emission_heading : 331.40036010742 , Emission_altitude : 10316.349609375 , Emission_speed : 479.64691162109 , Emission_target_type : Type: Multirole (Fighter/Attack) , Emission_classificationlevel : 2
PY_CONTACT_LOG  Time : 1844772240 , Sensor_aircraft : MiG-29 Fulcrum C , Emission_sensor_name : Slot Back [N-010 Zhuk-M] , Emission_age : 2.8999993801117 , Emission_solid : true , Emission_type : 2001 , Emission_role : 2122 , Emission_latitude : 44.615193065683 , Emission_longitude : 31.912838045398 , Emission_heading : 331.37893676758 , Emission_altitude : 7784.353515625 , Emission_speed : 500.23495483398 , Emission_target_type : Type: Multirole (Fighter/Attack) , Emission_classificationlevel : 2
PY_CONTACT_LOG  Time : 1844772300 , Sensor_aircraft : Typhoon FGR.4 , Emission_sensor_name : Slot Back [N-010 Zhuk-M] , Emission_age : 93.899139404297 , Emission_solid : true , Emission_type : 2001 , Emission_role : 2122 , Emission_latitude : 44.640933862914 , Emission_longitude : 31.890743606263 , Emission_heading : 331.40036010742 , Emission_altitude : 10316.349609375 , Emission_speed : 479.64691162109 , Emission_target_type : Type: Multirole (Fighter/Attack) , Emission_classificationlevel : 2
PY_CONTACT_LOG  Time : 1844772300 , Sensor_aircraft : MiG-29 Fulcrum C , Emission_sensor_name : Slot Back [N-010 Zhuk-M] , Emission_age : 2.8999993801117 , Emission_solid : true , Emission_type : 2001 , Emission_role : 2122 , Emission_latitude : 44.615193065683 , Emission_longitude : 31.912838045397 , Emission_heading : 331.31045532227 , Emission_altitude : 7619.9111328125 , Emission_speed : 529.85162353516 , Emission_target_type : Type: Multirole (Fighter/Attack) , Emission_classificationlevel : 2
PY_CONTACT_LOG  Time : 1844772360 , Sensor_aircraft : Typhoon FGR.4 , Emission_sensor_name : Slot Back [N-010 Zhuk-M] , Emission_age : 3.8999984264374 , Emission_solid : true , Emission_type : 2001 , Emission_role : 2122 , Emission_latitude : 44.858502779106 , Emission_longitude : 31.771586616634 , Emission_heading : 331.24072265625 , Emission_altitude : 7619.9111328125 , Emission_speed : 537.287109375 , Emission_target_type : Type: Multirole (Fighter/Attack) , Emission_classificationlevel : 2
PY_CONTACT_LOG  Time : 1844772360 , Sensor_aircraft : MiG-29 Fulcrum C , Emission_sensor_name : Slot Back [N-010 Zhuk-M] , Emission_age : 2.8999993801117 , Emission_solid : true , Emission_type : 2001 , Emission_role : 2122 , Emission_latitude : 45.023965205341 , Emission_longitude : 31.59932804959 , Emission_heading : 331.2395324707 , Emission_altitude : 7619.9111328125 , Emission_speed : 537.36614990234 , Emission_target_type : Type: Multirole (Fighter/Attack) , Emission_classificationlevel : 2
PY_CONTACT_LOG  Time : 1844772360 , Sensor_aircraft : MiG-29 Fulcrum C , Emission_sensor_name : CAPTOR , Emission_age : 2.8999993801117 , Emission_solid : false , Emission_type : 2001 , Emission_role : 2122 , Emission_latitude : 45.506821193921 , Emission_longitude : 30.746939111241 , Emission_heading : 54.782360076904 , Emission_altitude : nil , Emission_speed : nil , Emission_target_type : Type: Multirole (Fighter/Attack) , Emission_classificationlevel : 2
PY_CONTACT_LOG  Time : 1844772420 , Sensor_aircraft : MiG-29KUB Fulcrum D , Emission_sensor_name : Slot Back [N-019 Rubin] , Emission_age : 31.900085449219 , Emission_solid : false , Emission_type : 2001 , Emission_role : 2113 , Emission_latitude : 45.568013757942 , Emission_longitude : 30.823081443229 , Emission_heading : 170.09051513672 , Emission_altitude : 10242.206054688 , Emission_speed : 454.21356201172 , Emission_target_type : Type: Unknown air contact , Emission_classificationlevel : 1
PY_CONTACT_LOG  Time : 1844772420 , Sensor_aircraft : Typhoon FGR.4 , Emission_sensor_name : Slot Back [N-010 Zhuk-M] , Emission_age : 3.8999984264374 , Emission_solid : true , Emission_type : 2001 , Emission_role : 2122 , Emission_latitude : 45.055120688973 , Emission_longitude : 31.570737617646 , Emission_heading : 331.1686706543 , Emission_altitude : 7619.9111328125 , Emission_speed : 540.75537109375 , Emission_target_type : Class: MiG-29KUB Fulcrum D , Emission_classificationlevel : 3
PY_CONTACT_LOG  Time : 1844772420 , Sensor_aircraft : Typhoon FGR.4 , Emission_sensor_name : Slot Back [N-019 Rubin] , Emission_age : 20.900043487549 , Emission_solid : true , Emission_type : 2001 , Emission_role : 2113 , Emission_latitude : 45.568013757942 , Emission_longitude : 30.823081443229 , Emission_heading : 170.09051513672 , Emission_altitude : 10242.206054688 , Emission_speed : 454.21356201172 , Emission_target_type : Class: MiG-29 Fulcrum C , Emission_classificationlevel : 3
PY_CONTACT_LOG  Time : 1844772420 , Sensor_aircraft : MiG-29 Fulcrum C , Emission_sensor_name : Slot Back [N-010 Zhuk-M] , Emission_age : 2.8999993801117 , Emission_solid : true , Emission_type : 2001 , Emission_role : 2122 , Emission_latitude : 44.910612061177 , Emission_longitude : 31.738363487617 , Emission_heading : 331.16744995117 , Emission_altitude : 7619.9111328125 , Emission_speed : 540.79724121094 , Emission_target_type : Type: Multirole (Fighter/Attack) , Emission_classificationlevel : 2
